#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
3B|DP01|39.76855|-118.92072|1448|Desert Peak DP1|2007-09-15T00:00:00|2010-07-01T23:59:00
3B|DP02|39.75142|-118.91817|1446|Desert Peak DP2|2007-09-15T00:00:00|2010-07-01T23:59:00
3B|DP03|39.76147|-118.95978|1450|Desert Peak DP3|2007-09-15T00:00:00|2011-08-04T23:59:00
3B|DP04|39.77301|-118.94072|1459|Desert Peak DP4|2008-09-05T00:00:00|2011-10-05T23:59:00
3B|DP05|39.78448|-118.94788|1534|Desert Peak DP5|2008-06-17T08:46:00|3000-01-01T00:00:00
3B|DP06|39.75168|-118.96238|1351|Desert Peak DP6|2008-06-17T08:46:00|3000-01-01T00:00:00
3B|DP07|39.78057|-118.9526|1475|Desert Peak DP7|2008-09-05T00:00:00|2009-10-22T23:59:00
3B|DP08|39.76012|-118.92612|1329|Desert Peak DP8|2008-09-05T00:00:00|3000-01-01T00:00:00
3B|DP09|39.77355|-118.9509|1477|Desert Peak DP9|2009-10-23T00:00:00|2011-08-04T23:59:00
3B|DP10|39.74414|-118.94489|1350|Desert Peak DP10|2009-12-01T00:00:00|3000-01-01T00:00:00
3B|DP11|39.76663|-118.92043|1420|Desert Peak DP11|2010-07-02T00:00:00|2011-08-04T23:59:00
3B|DP12|39.75575|-118.94774|1366|Desert Peak DP12|2010-07-02T00:00:00|2010-08-17T23:59:00
3B|DP13|39.75369|-118.95844|1340|Desert Peak DP13|2010-07-02T00:00:00|2011-01-27T23:59:00
3B|DP14|39.75119|-118.94494|1366|Desert Peak DP14|2010-08-18T00:00:00|3000-01-01T00:00:00
3B|DP15|39.7679|-118.93667|1413|Desert Peak DP15|2011-08-05T00:00:00|2011-10-04T23:59:00
3B|DP18|39.76075|-118.95481|1382|Desert Peak DP18|2011-08-05T00:00:00|3000-01-01T00:00:00
3B|DP19|39.76597|118.95253|1409|Desert Peak DP19|2011-09-14T00:00:00|2011-10-13T18:00:00
3B|DP20|39.772|-118.95156|1447|Desert Peak DP20|2011-08-05T00:00:00|3000-01-01T00:00:00
3B|DP21|39.77301|-118.94072|1459|Desert Peak DP21|2010-10-08T00:00:00|3000-01-01T00:00:00
3B|DP22|39.7679|-118.93667|1413|Desert Peak DP22|2011-10-04T00:00:00|3000-01-01T00:00:00
3B|DP23|39.76075|-118.95481|1382|Desert Peak DP23|2011-10-26T19:21:00|2012-01-26T18:00:00
3B|DP24|39.76597|118.95253|1409|Desert Peak DP24|2011-10-13T02:45:00|3000-01-01T00:00:00
4B|RRS1|42.1025|-113.37575|1472|Raft River Array RRS1|2010-08-01T00:00:00|2011-11-01T23:59:00
4B|RRS10|42.08211|113.39561|1492|Raft River Array RRS10|2011-11-02T00:00:00|3000-01-01T00:00:00
4B|RRS11|42.09253|113.40286|1488|Raft River Array RRS11|2011-11-01T00:00:00|3000-01-01T00:00:00
4B|RRS2|42.09153|-113.37286|1476|Raft River Array RRS2|2010-08-01T00:00:00|3000-01-01T00:00:00
4B|RRS3|42.07683|-113.36067|1496|Raft River Array RRS3|2010-08-01T00:00:00|3000-01-01T00:00:00
4B|RRS4|42.06619|-113.39322|1530|Raft River Array RRS4|2010-08-01T00:00:00|2011-11-01T23:59:00
4B|RRS5|42.07822|-113.408705|1505|Raft River Array RRS5|2010-08-01T00:00:00|3000-01-01T00:00:00
4B|RRS6|42.08544|-113.41722|1498|Raft River Array RRS6|2010-08-01T00:00:00|2011-10-31T23:59:00
4B|RRS7|42.09553|-113.39558|1487|Raft River Array RRS7|2010-08-01T00:00:00|3000-01-01T00:00:00
4B|RRS8|42.10197|-113.40691|1528|Raft River Array RRS8|2010-08-01T00:00:00|3000-01-01T00:00:00
4B|RRS9|42.0885|-113.38286|1483|Raft River Array RRS9|2011-11-02T00:00:00|3000-01-01T00:00:00
5B|BPB1|39.797889|-119.005917|1264|Brady Array BPB1|2010-06-21T18:00:00|2010-11-18T18:00:00
5B|BPB2|39.782889|-119.008444|1271|Brady Array BPB2|2010-06-21T18:00:00|3000-01-01T00:00:00
5B|BPB3|39.778611|-119.012833|1261|Brady Array BPB3|2010-06-21T18:00:00|2012-02-17T16:23:00
5B|BPB4|39.777167|-119.012833|1238|Brady Array BPB4|2010-05-07T08:09:00|3000-01-01T00:00:00
5B|BPB5|39.781444|-119.021556|1238|Brady Array BPB5|2010-05-07T08:09:00|3000-01-01T00:00:00
5B|BPB6|39.776444|-119.039917|1265|Brady Array BPB6|2010-05-07T08:09:00|3000-01-01T00:00:00
5B|BPB7|39.791|-119.028972|1236|Brady Array BPB7|2010-05-07T08:09:00|3000-01-01T00:00:00
5B|BPB8|39.795083|-119.02325|1235|Brady Array BPB8|2010-05-07T08:09:00|3000-01-01T00:00:00
5B|BRP1|39.797889|-119.005917|1264|Brady Array BRP1|2010-04-30T00:00:00|3000-01-01T00:00:00
5B|BRP2|39.782889|-119.008444|1271|Brady Array BRP2|2010-04-30T00:00:00|2010-06-21T18:00:00
5B|BRP3|39.778611|-119.012833|1261|Brady Array BRP3|2010-04-30T00:00:00|3000-01-01T00:00:00
5B|BRP4|39.777167|-119.012833|1238|Brady Array BRP4|2010-04-30T00:00:00|2012-02-16T18:00:00
5B|BRP5|39.781444|-119.021556|1238|Brady Array BRP5|2010-04-30T00:00:00|2010-05-07T08:09:00
